TestSmell;File
EmptyTest;https://github.com/cofob/save-my-pass-pls/blob/dcd878c3adfef12c4f04e1bbbed043846fd81c15/test_.py#L4-L5
MagicNumberTest;https://github.com/ogrisel/scikit-learn/blob/b20998d4ec606558ae86cba7ff5a84aea094c397/sklearn/cluster/tests/test_k_means.py#L942-L946
AssertionRoulette;https://github.com/bofm/python-caching/blob/16de50c119f8896e923e3f10488ecf6ffe535f45/tests/test_cache.py#L46-L64
DuplicateAssert;https://github.com/bofm/python-caching/blob/16de50c119f8896e923e3f10488ecf6ffe535f45/tests/test_cache.py#L275-L298
ExceptionHandling;https://github.com/Sudistark/splunk-python/blob/e2c3e0a69ef29c4c8a6c4dcd59dd3c47ff620bd1/clilib/test_clilib.py#L16-L26
ExceptionHandling;https://github.com/jvaldiviezo9/path.py/blob/3684c4dc4896c174852b901b033e021a6267df2e/test_path.py#L450-L477
MagicNumberTest;https://github.com/ogrisel/scikit-learn/blob/b20998d4ec606558ae86cba7ff5a84aea094c397/sklearn/cluster/tests/test_k_means.py#L522-L537
EmptyTest;https://github.com/RKrahl/pytest-dependency/blob/0c083df1ff2ebc253777ccd20cc3013dddec3e74/doc/examples/nodeid.py#L4-L5
MagicNumberTest;https://github.com/pavankethavath/Car_dekho_car_price_prediction/blob/11acbb69e613bc46bd9af2863d52ccfbe5669ffc/venv/Lib/site-packages/~umpy/f2py/tests/test_callback.py#L123-L161
IgnoredTest;https://github.com/adcret/PMP/blob/28195b4708aec8046eadf088edc5c0307c5c3406/matlab/Lib/site-packages/networkx/classes/tests/test_backends.py#L25-L76
MagicNumberTest;https://github.com/ogrisel/scikit-learn/blob/b20998d4ec606558ae86cba7ff5a84aea094c397/sklearn/cluster/tests/test_k_means.py#L205-L266
EmptyTest;https://github.com/tissue-forge/tissue-forge/blob/350af605477e129c7fcf67b13ab349140a9023f0/testing/python/tfPyTest_gargon.py#L63-L64
IgnoredTest;https://github.com/ManuMartinezM/Proyecto_Final_Grupo_5/blob/ee7723e6ab69a464ec2853c0e061b98f86ada8be/PF_venv/Lib/site-packages/pandas/tests/computation/test_eval.py#L1539-L1551
UnknownTest;https://github.com/jeevika2407/pytest_demo2/blob/8729906a17de475c830596d7a829a7933ceccdc9/demo.py#L5-L6
IgnoredTest;https://github.com/ryfeus/lambda-packs/blob/74b21b9cddb57790c804ab973e26141eb7e5c912/ONNX-ARM/lambda-onnx-arm-3.8/numpy/typing/tests/test_typing.py#L99-L108
AssertionRoulette;https://github.com/wookayin/gpustat/blob/7a3b9644229681a752b560c6d4889929b9ea39d5/gpustat/test_gpustat.py#L601-L621
EmptyTest;https://github.com/ngie-eign/scratch/blob/310c4109654bd792c77e445ea9560070828a3e81/programming/python/pytest/pytest_decorators.py#L10-L12
DuplicateAssert;https://github.com/bofm/python-caching/blob/16de50c119f8896e923e3f10488ecf6ffe535f45/tests/test_cache.py#L330-L368
ExceptionHandling;https://github.com/pavankethavath/Car_dekho_car_price_prediction/blob/11acbb69e613bc46bd9af2863d52ccfbe5669ffc/venv/Lib/site-packages/~umpy/f2py/tests/test_callback.py#L123-L161
ExceptionHandling;https://github.com/romilly/quick2wire-python-api/blob/c5e21e9d804012efd9d214d18909034b4b898c96/quick2wire/test_gpio.py#L10-L23
