App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
TestProject,TestSmell001.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell001.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell001.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell002.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell002.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell002.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TestProject,TestSmell003.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell003.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell003.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TestProject,TestSmell004.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell004.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell004.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TestProject,TestSmell005.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell005.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell005.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell006.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell006.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell006.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TestProject,TestSmell007.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell007.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell007.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TestProject,TestSmell008.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell008.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell008.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TestProject,TestSmell009.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell009.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell009.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell010.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell010.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell010.java,,,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
TestProject,TestSmell011.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell011.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell011.java,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
TestProject,TestSmell012.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell012.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell012.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TestProject,TestSmell013.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell013.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell013.java,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell014.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell014.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell014.java,,,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell015.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell015.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell015.java,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell016.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell016.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell016.java,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
TestProject,TestSmell017.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell017.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell017.java,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell018.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell018.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell018.java,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestProject,TestSmell019.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell019.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell019.java,,,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TestProject,TestSmell020.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell020.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell020.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TestProject,TestSmell021.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell021.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell021.java,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TestProject,TestSmell022.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell022.java,C:\Users\publi\Downloads\aroma-lia-saner-2026-rp\dataset-files\java\TestSmell022.java,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
