filename,AssertionRoulette,ConditionalTestLogic,DuplicateAssert,EmptyTest,ExceptionHandling,IgnoredTest,MagicNumberTest,RedundantPrint,SleepyTest,UnknownTest
test_smell_001.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_002.test.ts,1,0,0,0,1,0,0,0,0,0
test_smell_003.test.ts,1,0,0,0,0,0,0,0,1,0
test_smell_004.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_005.test.ts,1,0,0,0,0,0,0,0,0,0
test_smell_006.test.ts,1,0,0,0,0,0,0,0,1,0
test_smell_007.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_008.test.ts,1,0,0,0,1,1,0,1,0,0
test_smell_009.test.ts,1,0,0,0,0,0,0,0,0,0
test_smell_010.test.ts,1,0,0,0,1,0,1,0,1,0
test_smell_011.test.ts,0,1,0,0,0,0,0,0,0,0
test_smell_012.test.ts,1,1,0,0,0,0,1,1,0,0
test_smell_013.test.ts,0,1,0,0,0,0,0,0,0,0
test_smell_014.test.ts,0,1,0,0,1,0,0,1,0,0
test_smell_015.test.ts,0,1,0,0,0,0,1,0,0,0
test_smell_016.test.ts,0,1,0,0,1,0,0,1,1,1
test_smell_017.test.ts,1,1,0,0,0,0,1,0,0,0
test_smell_018.test.ts,1,1,0,0,1,0,1,0,0,0
test_smell_019.test.ts,0,1,0,0,1,0,0,0,1,0
test_smell_020.test.ts,1,0,1,0,0,1,1,0,0,0
test_smell_021.test.ts,1,1,1,0,0,0,1,0,0,0
test_smell_022.test.ts,1,1,1,0,0,0,0,1,0,0
test_smell_023.test.ts,1,0,1,0,0,0,1,0,0,0
test_smell_024.test.ts,1,1,1,0,1,1,0,1,0,0
test_smell_025.test.ts,1,0,0,0,1,0,1,1,0,0
test_smell_026.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_027.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_028.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_029.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_030.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_031.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_032.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_033.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_034.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_035.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_036.test.ts,0,0,0,1,0,1,0,0,0,1
test_smell_037.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_038.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_039.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_040.test.ts,1,0,0,0,1,0,1,0,0,0
test_smell_041.test.ts,0,1,0,0,1,0,0,1,0,1
test_smell_042.test.ts,1,0,1,0,1,0,0,1,0,0
test_smell_043.test.ts,1,0,1,0,1,0,0,0,1,0
test_smell_044.test.ts,1,0,0,0,1,1,0,1,0,0
test_smell_045.test.ts,1,0,0,0,1,0,1,0,1,0
test_smell_046.test.ts,0,1,0,0,1,0,0,0,0,0
test_smell_047.test.ts,1,0,0,0,1,0,0,0,0,0
test_smell_048.test.ts,1,1,1,0,1,0,0,0,1,0
test_smell_049.test.ts,0,0,0,0,0,1,0,0,0,0
test_smell_050.test.ts,0,0,0,0,0,1,0,0,0,0
test_smell_051.test.ts,0,0,0,0,0,1,0,0,0,1
test_smell_052.test.ts,0,0,0,0,0,1,0,0,0,0
test_smell_053.test.ts,0,0,0,0,0,1,0,0,0,1
test_smell_054.test.ts,1,0,1,0,0,1,1,0,0,0
test_smell_055.test.ts,1,0,0,0,0,1,1,0,0,0
test_smell_056.test.ts,0,0,0,0,0,1,0,0,0,1
test_smell_057.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_058.test.ts,1,0,0,0,1,0,1,0,1,0
test_smell_059.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_060.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_061.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_062.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_063.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_064.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_065.test.ts,1,0,0,0,0,0,0,1,0,0
test_smell_066.test.ts,0,0,0,0,0,1,0,1,0,0
test_smell_067.test.ts,0,0,0,0,0,0,0,1,0,0
test_smell_068.test.ts,1,1,0,0,0,0,0,1,0,0
test_smell_069.test.ts,0,0,0,0,0,0,0,1,1,1
test_smell_070.test.ts,0,1,0,0,1,0,0,1,0,0
test_smell_071.test.ts,1,1,0,0,0,0,0,0,1,0
test_smell_072.test.ts,0,0,0,0,0,0,0,0,1,1
test_smell_073.test.ts,1,1,1,0,1,0,0,0,1,0
test_smell_074.test.ts,0,0,0,0,1,0,0,1,1,1
test_smell_075.test.ts,0,0,0,0,0,0,0,1,1,1
test_smell_076.test.ts,0,0,0,0,0,0,0,0,1,0
test_smell_077.test.ts,0,0,0,0,1,0,0,1,1,1
test_smell_078.test.ts,0,1,0,0,1,0,0,0,1,1
test_smell_079.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_080.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_081.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_082.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_083.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_084.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_085.test.ts,1,0,1,0,1,0,0,0,0,0
test_smell_086.test.ts,1,0,0,0,1,0,0,1,0,0
test_smell_087.test.ts,1,1,0,0,0,0,1,0,0,0
test_smell_088.test.ts,1,0,0,0,0,0,0,0,0,0
test_smell_089.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_090.test.ts,1,0,0,0,0,0,0,0,0,0
test_smell_091.test.ts,1,0,1,0,1,0,0,0,0,0
test_smell_092.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_093.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_094.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_095.test.ts,1,1,0,0,0,0,1,0,0,0
test_smell_096.test.ts,1,1,0,0,1,0,0,0,1,0
test_smell_097.test.ts,1,1,0,0,0,0,0,0,0,0
test_smell_098.test.ts,0,1,0,0,1,1,0,0,0,1
test_smell_099.test.ts,1,1,0,0,0,0,1,0,0,0
test_smell_100.test.ts,0,1,0,0,0,0,0,1,1,0
test_smell_101.test.ts,1,1,0,0,0,0,0,0,0,0
test_smell_102.test.ts,0,1,0,0,0,0,0,0,0,0
test_smell_103.test.ts,0,1,0,0,0,0,0,1,0,1
test_smell_104.test.ts,1,0,0,0,0,0,0,0,0,0
test_smell_105.test.ts,1,0,1,0,0,0,1,0,0,0
test_smell_106.test.ts,1,1,1,0,1,0,1,0,0,0
test_smell_107.test.ts,1,0,1,0,0,0,1,0,0,0
test_smell_108.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_109.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_110.test.ts,1,0,1,0,0,0,0,0,0,0
test_smell_111.test.ts,1,0,1,0,1,0,1,0,0,0
test_smell_112.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_113.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_114.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_115.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_116.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_117.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_118.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_119.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_120.test.ts,0,0,0,1,0,1,0,0,0,1
test_smell_121.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_122.test.ts,1,1,0,0,1,0,1,0,1,0
test_smell_123.test.ts,1,0,1,0,1,0,0,0,0,0
test_smell_124.test.ts,1,0,0,0,1,0,0,0,0,0
test_smell_125.test.ts,0,1,0,0,1,1,0,0,0,1
test_smell_126.test.ts,0,0,0,0,1,0,0,0,0,0
test_smell_127.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_128.test.ts,1,0,0,0,1,0,0,0,0,0
test_smell_129.test.ts,1,1,0,0,1,1,0,0,0,0
test_smell_130.test.ts,0,1,0,0,1,1,0,0,0,0
test_smell_131.test.ts,1,0,0,0,0,1,0,1,0,0
test_smell_132.test.ts,1,0,0,0,0,1,1,0,0,0
test_smell_133.test.ts,1,0,0,0,0,1,1,0,0,0
test_smell_134.test.ts,0,0,0,0,0,1,0,0,0,0
test_smell_135.test.ts,0,0,0,0,0,1,0,0,0,1
test_smell_136.test.ts,0,0,0,0,0,1,1,0,0,0
test_smell_137.test.ts,0,1,0,0,0,1,0,0,0,0
test_smell_138.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_139.test.ts,0,0,0,0,0,0,1,0,0,0
test_smell_140.test.ts,0,1,0,0,0,1,1,0,0,0
test_smell_141.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_142.test.ts,1,0,0,0,0,0,1,0,0,0
test_smell_143.test.ts,0,0,0,0,0,0,1,1,0,0
test_smell_144.test.ts,1,0,1,0,0,0,0,1,0,0
test_smell_145.test.ts,1,0,0,0,0,0,1,1,0,0
test_smell_146.test.ts,1,0,0,0,0,0,1,1,0,0
test_smell_147.test.ts,1,0,0,0,0,0,1,1,0,0
test_smell_148.test.ts,0,0,0,0,0,0,0,1,0,0
test_smell_149.test.ts,0,1,0,0,0,0,0,1,1,1
test_smell_150.test.ts,1,0,0,0,0,0,0,1,0,0
test_smell_151.test.ts,0,1,0,0,0,0,0,1,1,0
test_smell_152.test.ts,0,1,0,1,0,1,0,1,0,1
test_smell_153.test.ts,1,0,0,0,0,0,1,0,1,0
test_smell_154.test.ts,0,0,0,0,0,0,0,0,1,0
test_smell_155.test.ts,0,0,0,0,0,0,0,0,1,0
test_smell_156.test.ts,0,0,0,0,0,0,0,0,1,1
test_smell_157.test.ts,0,0,0,0,0,0,0,0,1,0
test_smell_158.test.ts,1,1,0,0,0,0,1,0,1,0
test_smell_159.test.ts,0,0,0,0,0,0,0,1,0,1
test_smell_160.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_161.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_162.test.ts,0,0,0,0,0,0,0,0,0,1
test_smell_163.test.ts,0,0,0,0,0,1,0,0,0,1
test_smell_164.test.ts,0,0,0,1,0,0,0,0,0,1
test_smell_165.test.ts,0,0,0,0,1,0,0,0,0,1
test_smell_166.test.ts,0,0,0,0,0,0,0,0,0,1
