language,filename,smell,y_true,y_pred,tool,correct
java,TestSmell001.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell001.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell001.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell001.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell001.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell001.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell001.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell001.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell001.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell001.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell002.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell002.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell002.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell002.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell002.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell002.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell002.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell002.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell002.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell002.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell003.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell003.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell003.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell003.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell003.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell003.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell003.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell003.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell003.java,SleepyTest,1,1,AromaLIA,1
java,TestSmell003.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell004.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell004.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell004.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell004.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell004.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell004.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell004.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell004.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell004.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell004.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell005.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell005.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell005.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell005.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell005.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell005.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell005.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell005.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell005.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell005.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell006.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell006.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell006.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell006.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell006.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell006.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell006.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell006.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell006.java,SleepyTest,1,1,AromaLIA,1
java,TestSmell006.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell007.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell007.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell007.java,DuplicateAssert,1,1,AromaLIA,1
java,TestSmell007.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell007.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell007.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell007.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell007.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell007.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell007.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell008.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell008.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell008.java,DuplicateAssert,1,1,AromaLIA,1
java,TestSmell008.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell008.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell008.java,IgnoredTest,1,1,AromaLIA,1
java,TestSmell008.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell008.java,RedundantPrint,1,1,AromaLIA,1
java,TestSmell008.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell008.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell009.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell009.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell009.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell009.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell009.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell009.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell009.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell009.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell009.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell009.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell010.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell010.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell010.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell010.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell010.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell010.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell010.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell010.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell010.java,SleepyTest,1,1,AromaLIA,1
java,TestSmell010.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell011.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell011.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell011.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell011.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell011.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell011.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell011.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell011.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell011.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell011.java,UnknownTest,1,1,AromaLIA,1
java,TestSmell012.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell012.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell012.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell012.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell012.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell012.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell012.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell012.java,RedundantPrint,1,1,AromaLIA,1
java,TestSmell012.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell012.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell013.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell013.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell013.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell013.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell013.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell013.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell013.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell013.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell013.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell013.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell014.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell014.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell014.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell014.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell014.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell014.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell014.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell014.java,RedundantPrint,1,1,AromaLIA,1
java,TestSmell014.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell014.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell015.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell015.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell015.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell015.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell015.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell015.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell015.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell015.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell015.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell015.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell016.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell016.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell016.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell016.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell016.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell016.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell016.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell016.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell016.java,SleepyTest,1,1,AromaLIA,1
java,TestSmell016.java,UnknownTest,1,1,AromaLIA,1
java,TestSmell017.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell017.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell017.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell017.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell017.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell017.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell017.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell017.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell017.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell017.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell018.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell018.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell018.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell018.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell018.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell018.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell018.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell018.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell018.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell018.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell019.java,AssertionRoulette,0,0,AromaLIA,1
java,TestSmell019.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell019.java,DuplicateAssert,0,0,AromaLIA,1
java,TestSmell019.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell019.java,ExceptionHandling,1,1,AromaLIA,1
java,TestSmell019.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell019.java,MagicNumberTest,0,0,AromaLIA,1
java,TestSmell019.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell019.java,SleepyTest,1,1,AromaLIA,1
java,TestSmell019.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell020.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell020.java,ConditionalTestLogic,0,0,AromaLIA,1
java,TestSmell020.java,DuplicateAssert,1,1,AromaLIA,1
java,TestSmell020.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell020.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell020.java,IgnoredTest,1,1,AromaLIA,1
java,TestSmell020.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell020.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell020.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell020.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell021.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell021.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell021.java,DuplicateAssert,1,1,AromaLIA,1
java,TestSmell021.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell021.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell021.java,IgnoredTest,0,0,AromaLIA,1
java,TestSmell021.java,MagicNumberTest,1,1,AromaLIA,1
java,TestSmell021.java,RedundantPrint,0,0,AromaLIA,1
java,TestSmell021.java,SleepyTest,0,0,AromaLIA,1
java,TestSmell021.java,UnknownTest,0,0,AromaLIA,1
java,TestSmell022.java,AssertionRoulette,1,1,AromaLIA,1
java,TestSmell022.java,ConditionalTestLogic,1,1,AromaLIA,1
java,TestSmell022.java,DuplicateAssert,1,1,AromaLIA,1
java,TestSmell022.java,EmptyTest,0,0,AromaLIA,1
java,TestSmell022.java,ExceptionHandling,0,0,AromaLIA,1
java,TestSmell022.java,IgnoredTest,0,0,AromaLIA,1
