TestSmell;File
EmptyTest;https://github.com/DWAI911/OceanOdyssey/blob/cdef6bbc37e66a749fc08046de4759953ea6dc34/PlayerTest.java#L32-L34
UnknownTest;https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
RedundantPrint;https://github.com/Ben-Steele/Tree-Data-Structure/blob/64414632285e77c62a4d31a7ccaa719751a393ba/TreeTest.java#L178-L190
DuplicateAssert;https://github.com/hhaslam11/Text-Fighter/blob/ae0fe3e4fba1e8ebb880a2ab0572069b21e8618f/src/com/hotmail/kalebmarc/textfighter/player/PotionTest.java#L266-L324
AssertionRoulette;https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L59-L78
AssertionRoulette;https://github.com/Glacier173/Git/blob/7fcb4dae0f2c2e9a9d5a931a15398d59462f4195/GitTest.java#L25-L34
RedundantPrint;https://github.com/elaissoussi/exercices/blob/50ac9b6d9e89c094010a9ed637bbd3198f36a729/marsrover/MarsRoverTest.java#L38-L48
EmptyTest;https://github.com/Shalabi98/GCIS634-group-project/blob/97cacad49ba66de19c0e8bd77ecde0a2a975c98d/GeneratorTest.java#L32-L35
MagicNumberTest;https://github.com/MaximeAttevall/AdventureGame/blob/dd9997a20b2270a6c5dd80e995b442250bd64088/funcTest.java#L15-L36
RedundantPrint;https://github.com/Olwethu-Thando/POE_PART2/blob/ac3f9b4c0b2de07653675d3863a2eb000e4b1c39/PeoTest.java#L42-L49
DuplicateAssert;https://github.com/vigusmao/Comp2_2020_PLE/blob/f38a995ff51ade221cdca4c6b72b98b88f13d9ef/Siguinha/src/testes/AlunoTest.java#L48-L84
EmptyTest;https://github.com/tachiniarthur/aplicativo-de-notas/blob/ea9a70791e0d4ebf62b28ee4e983c126cc16bc09/MainTest.java#L17-L19
